rank_gfa,address_fin,postal_code,postal_office_fin,main_purpose_fi,gross_floor_area,volume,number_of_storeys,apartment_count,heating_method_fi,heating_energy_source_fi,facade_material_fi,load_bearing_material_fi,construction_method_fi,completion_date,usage_status_fi,permanent_building_identifier,property_identifier,lon,lat,building_key
1,Muotoilijankuja 3 | Muotoilijankatu 1 | Hämeentie 135,00560,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",118466,538498,8,1,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1874-12-31,Käytetään vakinaiseen asumiseen,1032827011,09102306690012,24.97671212,60.20868692,88af4329-850f-4e6f-9d6c-99f17a8de552
2,Messukuja 3 | Ratamestarinkatu 14 | Messuaukio 1 | Rautatieläisenkatu 3,00520,HELSINKI,Julkinen rakennus,101120,1135220,3,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Kivi,Betoni,Elementti,1975-12-31,Tyhjillään,1032762896,09101700400008,24.93583912,60.20343128,f1a2536a-b383-4145-83e8-7e77f50802b2
3,Hermannin rantatie 5,00580,HELSINKI,Julkinen rakennus,99292,691500,4,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Paikalla tehty,2018-09-19,Tyhjillään,103201974X,09101099010000,24.97853263,60.1870236,d3c36ec0-6039-49cf-a326-007736a7381a
4,Fredikanterassi 5 | Fredikanterassi 3 | Fredikanterassi 1 | Firdonkatu 2,00520,HELSINKI,Julkinen rakennus,93303,499000,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Paikalla tehty,2022-11-08,Tyhjillään,103551983J,09101701030001,24.93109435,60.19854301,de970189-6531-449f-b125-d8d02362b678
5,Tennispalatsinaukio 4 | Urho Kekkosen katu 1 | Urho Kekkosen katu 5 | Fredrikinkatu 63a | Urho Kekkosen katu 3 | Annanaukio 2 | Narinkka 5 | Urho Kekkosen katu 7,00100,HELSINKI,Julkinen rakennus,81257,644899,9,99,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2005-09-16,Käytetään vakinaiseen asumiseen,103055979D,09100400070006,24.93223275,60.16869572,4765781a-4a7f-4ce4-a452-856db7be8b24
6,Salmisaarenranta 7 | Porkkalankatu 13,00180,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",77354,275440,9,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1940-12-31,Tyhjillään,103303921J,09102007810007,24.90110322,60.16330202,85fd5e92-e325-47bd-a864-7a38547bd104
7,Ratapihantie 17,00520,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",73458,230304,6,0,Sähkölämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,2002-08-23,Tyhjillään,1032762907,09101700400008,24.93689425,60.20530696,07a22d56-d772-4539-87be-7ea5bee24632
8,Asemapäällikönkatu 11 | Ratapihantie 7 | Junailijankuja 6-8 | Opastinsilta 12,00520,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",70707,449102,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,1981-12-31,Tyhjillään,1032670549,09101700160001,24.93606185,60.19902462,95558906-839c-47ae-80ab-36ed876022fc
9,Haartmaninkatu 4,00290,HELSINKI,Julkinen rakennus,63159,280479,15,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Lasi,Teräs,Elementti,1965-12-31,Tyhjillään,1032385006,09101505260009,24.90598157,60.1883134,e4f8ccb8-2dd0-4af8-a1de-47e67bb2d9d0
10,Radiokuja 3 | Uutiskatu 5 | Radiokatu 5 | Radiokuja 1,00240,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",60514,318235,7,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,1978-12-31,Tyhjillään,1032763195,09101700530003,24.92170158,60.20356073,bbfd72f4-ed7e-4e72-8610-fc951e97e579
11,Hernepellontie,00560,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",60000,710000,,0,,,,,,1994-06-03,Tyhjillään,102354744X,09143400020021,24.99541558,60.2281021,a4efbcc8-d818-4a0c-b11f-7324512cb9eb
12,Mannerheimintie 1 | Pohjoisesplanadi 41 | Keskuskatu 2 | Aleksanterinkatu 52,00100,HELSINKI,Julkinen rakennus,58012,301004,9,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1930-01-01,Tyhjillään,1030367460,09100200070001,24.94213401,60.16861635,3980cf62-4517-4346-b6bb-1c2d12e18124
13,Päijänteentie 14 | Gebhardinaukio 1,00510,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",56467,349587,8,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Betoni,Betoni,Elementti,2015-05-20,Tyhjillään,100955113J,09102205320021,24.95964167,60.1909197,2b8af391-ac99-4ccb-80ad-92de16a6de3b
